Exam Name,Link of website,College Name,City,State,Program,Branch,Year - cutoff,Round #,Gender,Quota,Opening Rank,Closing Rank,Link - Data Taken from
MIT World Peace University Entrance Test,,MIT-WPU JEE-Main B.Tech Course-wise,,,Chemical Engineering,Chemical Engineering,,,,,,22726,https://zollege.in/university/177737-mit-world-peace-university-mitwpu-pune/cutoff
MIT World Peace University Entrance Test,,MIT-WPU JEE-Main B.Tech Course-wise,,,Mechanical Engineering,Mechanical Engineering,,,,,,24215,https://zollege.in/university/177737-mit-world-peace-university-mitwpu-pune/cutoff
MIT World Peace University Entrance Test,,MIT-WPU JEE-Main B.Tech Course-wise,,,Civil Engineering,Civil Engineering,,,,,,39975,https://zollege.in/university/177737-mit-world-peace-university-mitwpu-pune/cutoff
